Row,Name,PlaceName,Map
1,,0,0
2,,0,0
3,,0,0
4,,0,0
5,,0,0
6,,0,0
7,,0,0
8,,0,0
9,,0,0
10,,0,0
11,,0,0
12,,0,0
13,,0,0
14,,0,0
15,,0,0
16,,0,0
17,,0,0
18,,0,0
19,,0,0
20,,0,0
21,,0,0
22,,0,0
24,,0,0
25,,0,0
26,,0,0
27,,0,0
28,,0,0
29,,0,0
30,,0,0
31,,0,0
128,s1t1,Limsa Lominsa Upper Decks,Limsa Lominsa Upper Decks
129,s1t2,Limsa Lominsa Lower Decks,Limsa Lominsa Lower Decks
130,w1t1,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
131,w1t2,Ul'dah - Steps of Thal,Ul'dah - Steps of Thal
132,f1t1,New Gridania,New Gridania
133,f1t2,Old Gridania,Old Gridania
134,s1f1,Middle La Noscea,Middle La Noscea
135,s1f2,Lower La Noscea,Lower La Noscea
136,s1h1_test,Mist,Mist
137,s1f3,Eastern La Noscea,Eastern La Noscea
138,s1f4,Western La Noscea,Western La Noscea
139,s1f5,Upper La Noscea,Upper La Noscea
140,w1f1,Western Thanalan,Western Thanalan
141,w1f2,Central Thanalan,Central Thanalan
142,w1d7_battle,Halatali,Halatali
143,,0,0
144,w1eb,The Gold Saucer,The Gold Saucer
145,w1f3,Eastern Thanalan,Eastern Thanalan
146,w1f4,Southern Thanalan,Southern Thanalan
147,w1f5,Northern Thanalan,Northern Thanalan
148,f1f1,Central Shroud,Central Shroud
149,z1z3,The Feasting Grounds,The Feasting Grounds
150,,0,0
151,l1r3,The World of Darkness,The World of Darkness
152,f1f2,East Shroud,East Shroud
153,f1f3,South Shroud,South Shroud
154,f1f4,North Shroud,North Shroud
155,r1f1,Coerthas Central Highlands,Coerthas Central Highlands
156,l1f1,Mor Dhona,Mor Dhona
157,,0,0
158,,0,0
159,s1d3,The Wanderer's Palace,The Wanderer's Palace
160,s1d4,Pharos Sirius,Pharos Sirius
161,,0,0
162,,0,0
163,,0,0
164,,0,0
166,,0,0
167,f1d3,Amdapor Keep,Amdapor Keep
168,,0,0
169,,0,0
170,,0,0
171,r1r1,Dzemael Darkhold,Dzemael Darkhold
172,r1r2,Aurum Vale,Aurum Vale
174,l1r1,Labyrinth of the Ancients,Labyrinth of the Ancients
175,,0,0
176,z1j1,Mordion Gaol,Eorzea
177,s1ti,Mizzenmast Inn,Mizzenmast Inn
178,w1ti,The Hourglass,The Hourglass
179,f1ti,The Roost,The Roost
180,s1f6,Outer La Noscea,Outer La Noscea
181,s1t1_opening,Limsa Lominsa,Limsa Lominsa Upper Decks
182,w1t1_opening,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
183,f1t1_opening,New Gridania,New Gridania
184,,0,0
185,,0,0
186,,0,0
187,,0,0
188,s1d8,The Wanderer's Palace,The Wanderer's Palace (Hard)
189,f1d7,Amdapor Keep,Amdapor Keep (Hard)
190,go002,Central Shroud,Central Shroud
